PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1986,20.75,-157.75,5.69
ALLSKY_SFC_SW_DWN,1986,20.75,-158.25,5.57
ALLSKY_SFC_SW_DWN,1986,20.75,-158.75,5.57
ALLSKY_SFC_SW_DWN,1986,20.75,-159.25,5.39
ALLSKY_SFC_SW_DWN,1986,20.75,-159.75,5.39
ALLSKY_SFC_SW_DWN,1986,20.75,-160.25,5.39
ALLSKY_SFC_SW_DWN,1986,20.75,-160.75,5.39
ALLSKY_SFC_SW_DWN,1986,21.25,-154.75,5.44
ALLSKY_SFC_SW_DWN,1986,21.25,-155.25,5.43
ALLSKY_SFC_SW_DWN,1986,21.25,-155.75,5.43
ALLSKY_SFC_SW_DWN,1986,21.25,-156.25,5.41
ALLSKY_SFC_SW_DWN,1986,21.25,-156.75,5.41
ALLSKY_SFC_SW_DWN,1986,21.25,-157.25,5.3
ALLSKY_SFC_SW_DWN,1986,21.25,-157.75,5.3
ALLSKY_SFC_SW_DWN,1986,21.25,-158.25,5.48
ALLSKY_SFC_SW_DWN,1986,21.25,-158.75,5.48
ALLSKY_SFC_SW_DWN,1986,21.25,-159.25,5.44
ALLSKY_SFC_SW_DWN,1986,21.25,-159.75,5.44
ALLSKY_SFC_SW_DWN,1986,21.25,-160.25,5.5
ALLSKY_SFC_SW_DWN,1986,21.25,-160.75,5.5
ALLSKY_SFC_SW_DWN,1986,21.75,-154.75,5.44
ALLSKY_SFC_SW_DWN,1986,21.75,-155.25,5.43
ALLSKY_SFC_SW_DWN,1986,21.75,-155.75,5.43
ALLSKY_SFC_SW_DWN,1986,21.75,-156.25,5.41
ALLSKY_SFC_SW_DWN,1986,21.75,-156.75,5.41
ALLSKY_SFC_SW_DWN,1986,21.75,-157.25,5.3
ALLSKY_SFC_SW_DWN,1986,21.75,-157.75,5.3
ALLSKY_SFC_SW_DWN,1986,21.75,-158.25,5.48
ALLSKY_SFC_SW_DWN,1986,21.75,-158.75,5.48
ALLSKY_SFC_SW_DWN,1986,21.75,-159.25,5.44
ALLSKY_SFC_SW_DWN,1986,21.75,-159.75,5.44
ALLSKY_SFC_SW_DWN,1986,21.75,-160.25,5.5
ALLSKY_SFC_SW_DWN,1986,21.75,-160.75,5.5
ALLSKY_SFC_SW_DWN,1986,22.25,-154.75,5.37
ALLSKY_SFC_SW_DWN,1986,22.25,-155.25,5.4
ALLSKY_SFC_SW_DWN,1986,22.25,-155.75,5.4
ALLSKY_SFC_SW_DWN,1986,22.25,-156.25,5.37
ALLSKY_SFC_SW_DWN,1986,22.25,-156.75,5.37
ALLSKY_SFC_SW_DWN,1986,22.25,-157.25,5.38
ALLSKY_SFC_SW_DWN,1986,22.25,-157.75,5.38
ALLSKY_SFC_SW_DWN,1986,22.25,-158.25,5.35
ALLSKY_SFC_SW_DWN,1986,22.25,-158.75,5.35
ALLSKY_SFC_SW_DWN,1986,22.25,-159.25,5.39
ALLSKY_SFC_SW_DWN,1986,22.25,-159.75,5.39
ALLSKY_SFC_SW_DWN,1986,22.25,-160.25,5.46
ALLSKY_SFC_SW_DWN,1986,22.25,-160.75,5.46
ALLSKY_SFC_SW_DWN,1987,19.25,-154.75,5.51
ALLSKY_SFC_SW_DWN,1987,19.25,-155.25,5.58
ALLSKY_SFC_SW_DWN,1987,19.25,-155.75,5.58
ALLSKY_SFC_SW_DWN,1987,19.25,-156.25,6.01
ALLSKY_SFC_SW_DWN,1987,19.25,-156.75,6.01
ALLSKY_SFC_SW_DWN,1987,19.25,-157.25,5.7
ALLSKY_SFC_SW_DWN,1987,19.25,-157.75,5.7
ALLSKY_SFC_SW_DWN,1987,19.25,-158.25,5.57
ALLSKY_SFC_SW_DWN,1987,19.25,-158.75,5.57
ALLSKY_SFC_SW_DWN,1987,19.25,-159.25,5.58
ALLSKY_SFC_SW_DWN,1987,19.25,-159.75,5.58
ALLSKY_SFC_SW_DWN,1987,19.25,-160.25,5.57
ALLSKY_SFC_SW_DWN,1987,19.25,-160.75,5.57
ALLSKY_SFC_SW_DWN,1987,19.75,-154.75,5.51
ALLSKY_SFC_SW_DWN,1987,19.75,-155.25,5.58
ALLSKY_SFC_SW_DWN,1987,19.75,-155.75,5.58
ALLSKY_SFC_SW_DWN,1987,19.75,-156.25,6.01
ALLSKY_SFC_SW_DWN,1987,19.75,-156.75,6.01
ALLSKY_SFC_SW_DWN,1987,19.75,-157.25,5.7
ALLSKY_SFC_SW_DWN,1987,19.75,-157.75,5.7
ALLSKY_SFC_SW_DWN,1987,19.75,-158.25,5.57
ALLSKY_SFC_SW_DWN,1987,19.75,-158.75,5.57
ALLSKY_SFC_SW_DWN,1987,19.75,-159.25,5.58
ALLSKY_SFC_SW_DWN,1987,19.75,-159.75,5.58
ALLSKY_SFC_SW_DWN,1987,19.75,-160.25,5.57
